epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.435,1.48707,1.5886,1.34457,0.76011,0.74523,0.80139,0.58883,1.21862,0.81084,1.06043,0.0700146,0.00333171,0.00333171
2,1482.71,1.41819,1.35269,1.28314,0.76968,0.73667,0.79015,0.57062,1.20963,0.86957,1.07622,0.0399547,0.00660505,0.00660505
3,2226.85,1.46613,1.45329,1.31717,0.77776,0.71856,0.7935,0.58255,1.18472,0.85781,1.07877,0.00983468,0.0098184,0.0098184
4,2970.85,1.5122,1.50406,1.35014,0.75432,0.74266,0.79041,0.55855,1.3129,0.91157,1.11238,0.00973,0.00973,0.00973
5,3712.2,1.48719,1.45829,1.34473,0.8036,0.72968,0.80681,0.61621,1.0942,0.83301,1.05706,0.00964,0.00964,0.00964
6,4454.7,1.4447,1.39059,1.32039,0.79614,0.75803,0.82804,0.61868,1.14312,0.80377,1.07299,0.00955,0.00955,0.00955
7,5198.43,1.42643,1.35042,1.31258,0.80255,0.76038,0.81946,0.64664,1.04444,0.78925,1.02903,0.00946,0.00946,0.00946
8,730.972,1.39554,1.32073,1.29757,0.82489,0.76738,0.84009,0.64393,1.09828,0.76241,1.04302,0.00937,0.00937,0.00937
9,1455.09,1.36983,1.2808,1.28598,0.83306,0.7674,0.84494,0.65604,1.05073,0.75514,1.03204,0.00928,0.00928,0.00928
10,2185.33,1.34786,1.25388,1.27046,0.83577,0.78534,0.85429,0.66326,1.00751,0.72044,1.01948,0.00919,0.00919,0.00919
11,2915.36,1.31789,1.20479,1.24907,0.81161,0.78571,0.84711,0.68861,0.93695,0.71977,1.00251,0.0091,0.0091,0.0091
12,3641.78,1.30838,1.19295,1.25155,0.84533,0.78432,0.85885,0.69057,0.94348,0.69799,0.99573,0.00901,0.00901,0.00901
13,4377.93,1.2827,1.15071,1.23211,0.84327,0.79086,0.86536,0.70357,0.92042,0.67121,0.99218,0.00892,0.00892,0.00892
14,5099.75,1.28159,1.1411,1.23202,0.84634,0.7902,0.86356,0.70483,0.9049,0.68191,0.98028,0.00883,0.00883,0.00883
15,5820.33,1.28397,1.15636,1.24,0.8437,0.79059,0.86355,0.70547,0.90563,0.66537,0.98835,0.00874,0.00874,0.00874
16,6534.6,1.27456,1.15117,1.23483,0.86692,0.7875,0.86799,0.69964,0.94307,0.66294,0.99923,0.00865,0.00865,0.00865
17,7253.54,1.26787,1.14123,1.23664,0.86034,0.80333,0.87702,0.71046,0.89884,0.65066,0.9823,0.00856,0.00856,0.00856
18,7963.45,1.24628,1.10583,1.21648,0.86434,0.79776,0.87434,0.71609,0.89152,0.63932,0.98442,0.00847,0.00847,0.00847
19,8676.96,1.24578,1.10799,1.21443,0.84729,0.80202,0.87752,0.72315,0.86151,0.63893,0.97226,0.00838,0.00838,0.00838
20,9383.1,1.23079,1.08523,1.21064,0.85268,0.80743,0.87843,0.7158,0.87389,0.63177,0.97536,0.00829,0.00829,0.00829
21,10084.6,1.21464,1.05985,1.19749,0.86093,0.80594,0.87735,0.73406,0.83316,0.62471,0.96733,0.0082,0.0082,0.0082
22,10787.2,1.22794,1.08763,1.20764,0.8594,0.8069,0.88069,0.72752,0.8508,0.61811,0.97101,0.00811,0.00811,0.00811
23,11495.4,1.20947,1.06208,1.20196,0.86755,0.81282,0.88368,0.71841,0.90704,0.62263,0.98083,0.00802,0.00802,0.00802
24,12205.4,1.19921,1.05413,1.19522,0.86275,0.80907,0.88263,0.73522,0.84731,0.60594,0.97087,0.00793,0.00793,0.00793
25,12912.6,1.19427,1.04122,1.18793,0.85567,0.81942,0.88466,0.74461,0.80781,0.59944,0.95578,0.00784,0.00784,0.00784
26,13623.6,1.19578,1.04991,1.19502,0.86183,0.81869,0.88581,0.73164,0.85654,0.60298,0.96204,0.00775,0.00775,0.00775
27,14333.3,1.18521,1.02896,1.1851,0.85509,0.82015,0.88955,0.75767,0.78307,0.58674,0.94677,0.00766,0.00766,0.00766
28,15041.3,1.17757,1.02189,1.17617,0.87382,0.81034,0.8828,0.75083,0.79118,0.59235,0.94481,0.00757,0.00757,0.00757
29,15750.6,1.17323,1.01643,1.17892,0.87798,0.80982,0.89072,0.75616,0.78625,0.58344,0.94399,0.00748,0.00748,0.00748
30,16455.9,1.16862,1.01374,1.17754,0.87267,0.81417,0.88983,0.74795,0.827,0.58656,0.9543,0.00739,0.00739,0.00739
31,17163.9,1.14881,0.98615,1.16035,0.86415,0.81875,0.88834,0.74775,0.81778,0.58715,0.94926,0.0073,0.0073,0.0073
32,17875.2,1.15467,0.99803,1.17138,0.87086,0.81845,0.89169,0.74825,0.81705,0.57778,0.94994,0.00721,0.00721,0.00721
33,18580.9,1.14271,0.97496,1.1622,0.85946,0.8218,0.89061,0.75462,0.80082,0.57523,0.94878,0.00712,0.00712,0.00712
34,19289.1,1.14387,0.98406,1.16473,0.86673,0.81649,0.88771,0.75104,0.80461,0.57477,0.94878,0.00703,0.00703,0.00703
35,19995.8,1.13073,0.97344,1.15733,0.86401,0.82249,0.89111,0.75274,0.80188,0.57043,0.94362,0.00694,0.00694,0.00694
36,20702.3,1.1332,0.96942,1.15273,0.87793,0.81165,0.89223,0.75972,0.76488,0.57149,0.9344,0.00685,0.00685,0.00685
37,21423.7,1.12921,0.96513,1.15181,0.86863,0.82111,0.89472,0.76538,0.76649,0.55876,0.93545,0.00676,0.00676,0.00676
38,22138,1.12023,0.95454,1.15067,0.87284,0.82122,0.89377,0.76065,0.78498,0.56406,0.94029,0.00667,0.00667,0.00667
39,22847.6,1.11685,0.95498,1.15013,0.8714,0.82912,0.89817,0.76363,0.77217,0.55373,0.93778,0.00658,0.00658,0.00658
40,23554.8,1.11809,0.95385,1.14864,0.86963,0.8302,0.89675,0.76513,0.77693,0.55535,0.9391,0.00649,0.00649,0.00649
41,24266.7,1.11553,0.94946,1.15037,0.86992,0.82506,0.89482,0.76634,0.76806,0.55167,0.93518,0.0064,0.0064,0.0064
42,24976.5,1.10221,0.92683,1.14051,0.87498,0.82104,0.89299,0.76791,0.7602,0.54521,0.93405,0.00631,0.00631,0.00631
43,25691.2,1.10237,0.92818,1.14222,0.87676,0.82728,0.89577,0.7741,0.74251,0.54666,0.93001,0.00622,0.00622,0.00622
